veil-type,veil-color,ring-number,ring-type,veilID
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,e,pwoe
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,p,pwop
p,w,o,e,pwoe
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,e,pwoe
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,e,pwoe
p,w,o,p,pwop
p,w,o,e,pwoe
p,w,o,p,pwop
p,w,o,e,pwoe
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,e,pwoe
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,e,pwoe
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,e,pwoe
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,e,pwoe
p,w,o,p,pwop
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,p,pwop
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,p,pwop
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,p,pwop
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,p,pwop
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,p,pwop
p,w,o,e,pwoe
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,e,pwoe
p,w,o,p,pwop
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,p,pwop
p,w,o,e,pwoe
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,e,pwoe
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,e,pwoe
p,w,o,p,pwop
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,e,pwoe
p,w,o,p,pwop
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,p,pwop
p,w,o,e,pwoe
p,w,o,p,pwop
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,p,pwop
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,p,pwop
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,p,pwop
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,p,pwop
p,w,o,e,pwoe
p,w,o,p,pwop
p,w,o,e,pwoe
p,w,o,p,pwop
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,e,pwoe
p,w,o,p,pwop
p,w,o,e,pwoe
p,w,o,p,pwop
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,p,pwop
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,p,pwop
p,w,o,e,pwoe
p,w,o,p,pwop
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,e,pwoe
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,e,pwoe
p,w,o,p,pwop
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,p,pwop
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,p,pwop
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,p,pwop
p,w,o,e,pwoe
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,p,pwop
p,w,o,e,pwoe
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,p,pwop
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,p,pwop
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,p,pwop
p,w,o,e,pwoe
p,w,o,p,pwop
p,w,o,e,pwoe
p,w,o,p,pwop
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,e,pwoe
p,w,o,p,pwop
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,p,pwop
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,p,pwop
p,w,o,e,pwoe
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,p,pwop
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,p,pwop
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,p,pwop
p,w,o,e,pwoe
p,w,o,p,pwop
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,e,pwoe
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,p,pwop
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,p,pwop
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,p,pwop
p,w,o,e,pwoe
p,w,o,p,pwop
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,p,pwop
p,w,o,e,pwoe
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,p,pwop
p,w,o,e,pwoe
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,p,pwop
p,w,o,e,pwoe
p,w,o,p,pwop
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,p,pwop
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,p,pwop
p,w,o,e,pwoe
p,w,o,p,pwop
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,p,pwop
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,e,pwoe
p,w,o,p,pwop
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,p,pwop
p,w,o,e,pwoe
p,w,o,p,pwop
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,p,pwop
p,w,o,e,pwoe
p,w,o,p,pwop
p,w,o,e,pwoe
p,w,o,p,pwop
p,w,o,e,pwoe
p,w,o,p,pwop
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,p,pwop
p,w,o,e,pwoe
p,w,o,p,pwop
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,p,pwop
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,e,pwoe
p,w,o,p,pwop
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,p,pwop
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,p,pwop
p,w,o,e,pwoe
p,w,o,p,pwop
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,e,pwoe
p,w,o,p,pwop
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,p,pwop
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,p,pwop
p,w,o,e,pwoe
p,w,o,p,pwop
p,w,o,e,pwoe
p,w,o,p,pwop
p,w,o,e,pwoe
p,w,o,p,pwop
p,w,o,e,pwoe
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,e,pwoe
p,w,o,p,pwop
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,p,pwop
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,p,pwop
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,e,pwoe
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,p,pwop
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,e,pwoe
p,w,o,p,pwop
p,w,o,e,pwoe
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,p,pwop
p,w,o,e,pwoe
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,p,pwop
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,p,pwop
p,w,o,e,pwoe
p,w,o,p,pwop
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,p,pwop
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,p,pwop
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,p,pwop
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,p,pwop
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,p,pwop
p,w,o,e,pwoe
p,w,o,p,pwop
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,e,pwoe
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,p,pwop
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,p,pwop
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,p,pwop
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,p,pwop
p,w,o,e,pwoe
p,w,o,p,pwop
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,e,pwoe
p,w,o,p,pwop
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,e,pwoe
p,w,o,p,pwop
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,p,pwop
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,p,pwop
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,p,pwop
p,w,o,e,pwoe
p,w,o,p,pwop
p,w,o,e,pwoe
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,e,pwoe
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,e,pwoe
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,e,pwoe
p,w,o,p,pwop
p,w,o,l,pwol
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,p,pwop
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,e,pwoe
p,w,o,p,pwop
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,e,pwoe
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,e,pwoe
p,w,o,p,pwop
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,e,pwoe
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,e,pwoe
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,e,pwoe
p,w,o,p,pwop
p,w,o,e,pwoe
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,p,pwop
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,e,pwoe
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,p,pwop
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,p,pwop
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,p,pwop
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,p,pwop
p,w,o,e,pwoe
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,e,pwoe
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,e,pwoe
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,e,pwoe
p,w,o,p,pwop
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,p,pwop
p,w,o,e,pwoe
p,w,o,p,pwop
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,e,pwoe
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,e,pwoe
p,w,o,p,pwop
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,p,pwop
p,w,o,e,pwoe
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,e,pwoe
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,e,pwoe
p,w,o,p,pwop
p,w,o,e,pwoe
p,w,o,p,pwop
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,e,pwoe
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,p,pwop
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,p,pwop
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,e,pwoe
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,e,pwoe
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,e,pwoe
p,w,o,p,pwop
p,w,o,e,pwoe
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,e,pwoe
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,e,pwoe
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,e,pwoe
p,w,o,p,pwop
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,p,pwop
p,w,o,e,pwoe
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,e,pwoe
p,w,o,p,pwop
p,w,o,e,pwoe
p,w,o,p,pwop
p,w,o,e,pwoe
p,w,o,p,pwop
p,w,o,e,pwoe
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,e,pwoe
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,e,pwoe
p,w,o,p,pwop
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,e,pwoe
p,w,o,p,pwop
p,w,o,e,pwoe
p,w,o,e,pwoe
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,e,pwoe
p,w,o,p,pwop
p,w,o,e,pwoe
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,l,pwol
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,e,pwoe
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,l,pwol
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,e,pwoe
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,e,pwoe
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,e,pwoe
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,e,pwoe
p,w,o,l,pwol
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,e,pwoe
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,e,pwoe
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,e,pwoe
p,w,o,p,pwop
p,w,o,p,pwop
p,w,o,p,pwop
